ITEM_CATEGORY,SALE_YEAR,TOTAL_REVENUE,TOTAL_UNITS,AVG_PRICE,UNIQUE_CUSTOMERS,TOTAL_PROFIT,TOTAL_DISCOUNTS
Jewelry,2002,387440285.31,11360829,37.89657619,135828,-186865703.07,42374792.50
Shoes,2002,385560830.13,11320321,37.90151411,136021,-186456084.07,43763670.76
Electronics,2002,385390077.45,11323785,37.81037389,135810,-186097042.58,42584644.99
Children,2002,384092907.30,11279545,37.90643042,135033,-184134820.71,42815516.57
Sports,2002,383231439.88,11233555,37.97816250,135518,-183836610.13,43435199.70
Music,2002,383035969.34,11277772,37.83149808,135248,-185680480.97,42349552.12
Home,2002,381307274.18,11164913,37.99841166,134800,-183392283.22,42547053.71
Books,2002,378302974.73,11089190,37.93504153,134124,-181275524.43,42118050.27
Men,2002,377841170.53,11094617,37.85471596,134214,-182167170.65,41745628.78
Women,2002,377769818.81,11046766,38.00573612,134734,-180306322.63,41722392.61
Sports,2000,207907526.79,6088245,38.00145723,72808,-99922546.51,23563073.47
Home,2000,207830471.60,6053091,38.03496738,72993,-98857253.72,22742467.22
Children,2000,206344145.44,6034990,37.85454392,73131,-98525136.71,22928351.07
Books,2000,205598673.13,6025109,37.84506650,72636,-99469097.74,22844990.83
Music,2000,205523211.75,6002214,37.82928529,72511,-98148169.97,22456929.39
Women,2000,204712386.34,6009635,37.89424090,72287,-99798870.87,22949680.28
Electronics,2000,204065598.20,6002902,37.83595907,72863,-99438233.67,22816141.63
Shoes,2000,203799170.79,5987128,37.78701897,72743,-98475117.14,22809234.03
Jewelry,2000,203354971.73,5973621,37.86056313,72284,-97511116.19,22429135.82
Men,2000,201944131.03,5901123,38.03012814,72186,-96927963.16,22669594.36
Music,2001,107403174.68,3161495,37.86141424,39700,-51677805.73,12051624.99
Shoes,2001,106275750.85,3109007,37.97030070,39422,-50893658.48,11665690.11
Children,2001,105907511.08,3118206,37.66587419,39662,-50914913.18,11596449.97
Jewelry,2001,105901894.06,3113584,37.97269552,39608,-51002735.46,11856552.44
Women,2001,105743038.99,3104376,37.95553632,39406,-51298018.13,11899912.32
Sports,2001,105740119.98,3100279,37.90408812,39436,-50773240.22,11629580.79
Men,2001,105570889.61,3094116,37.80026510,39416,-50601805.69,11603659.15
Home,2001,104950474.63,3074383,37.85474659,39271,-50767090.66,11602213.33
Electronics,2001,104029381.61,3066600,37.71988190,39357,-50514880.84,11541999.56
Books,2001,102590697.69,3044488,37.57850230,38998,-50345664.08,11699993.28
,2002,8941777.95,265612,37.03450189,5149,-4387179.14,1047992.42
,2000,5274281.24,156851,36.89544857,2970,-2552988.56,590713.56
,2001,2637007.20,78886,37.06510638,1535,-1235981.51,277239.86
